iri,caseNumber,date,ecli,chamber
estleg:RK_2_19_8472_39,2-19-8472/39,2020-10-07,ECLI:EE:RK:2020:2.19.8472.39,Tsiviilkolleegium
estleg:RK_2_19_9046_10,2-19-9046/10,2020-03-16,ECLI:EE:RK:2020:2.19.9046.10,Tsiviilkolleegium
estleg:RK_2_19_9918_31,2-19-9918/31,2020-10-21,ECLI:EE:RK:2020:2.19.9918.31,Tsiviilkolleegium
estleg:RK_2_20_154_24,2-20-154/24,2020-10-28,ECLI:EE:RK:2020:2.20.154.24,Tsiviilkolleegium
estleg:RK_2_20_2050_26,2-20-2050/26,2020-10-14,ECLI:EE:RK:2020:2.20.2050.26,Tsiviilkolleegium
estleg:RK_2_20_5086_52,2-20-5086/52,2020-12-21,ECLI:EE:RK:2020:2.20.5086.52,Tsiviilkolleegium
estleg:RK_2_20_7328_8,2-20-7328/8,2020-12-16,ECLI:EE:RK:2020:2.20.7328.8,Tsiviilkolleegium
estleg:RK_2_20_896_31,2-20-896/31,2020-06-17,ECLI:EE:RK:2020:2.20.896.31,Erikogu
estleg:RK_3_12_1512_140,3-12-1512/140,2020-02-21,ECLI:EE:RK:2020:3.12.1512.140,Halduskolleegium
estleg:RK_3_14_51567_70,3-14-51567/70,2020-06-09,ECLI:EE:RK:2020:3.14.51567.70,Halduskolleegium
estleg:RK_3_16_1634_24,3-16-1634/24,2020-03-23,ECLI:EE:RK:2020:3.16.1634.24,Halduskolleegium
estleg:RK_3_16_1864_65,3-16-1864/65,2020-09-28,ECLI:EE:RK:2020:3.16.1864.65,Halduskolleegium
estleg:RK_3_16_1903_62,3-16-1903/62,2020-04-23,ECLI:EE:RK:2020:3.16.1903.62,Halduskolleegium
estleg:RK_3_16_1903_69,3-16-1903/69,2020-06-18,ECLI:EE:RK:2020:3.16.1903.69,Halduskolleegium
estleg:RK_3_16_2267_45,3-16-2267/45,2020-02-20,ECLI:EE:RK:2020:3.16.2267.45,Halduskolleegium
estleg:RK_3_16_2653_64,3-16-2653/64,2020-12-17,ECLI:EE:RK:2020:3.16.2653.64,Halduskolleegium
estleg:RK_3_17_1343_45,3-17-1343/45,2020-02-17,ECLI:EE:RK:2020:3.17.1343.45,Halduskolleegium
estleg:RK_3_17_1503_36,3-17-1503/36,2020-02-28,ECLI:EE:RK:2020:3.17.1503.36,Halduskolleegium
estleg:RK_3_17_1646_53,3-17-1646/53,2020-10-05,ECLI:EE:RK:2020:3.17.1646.53,Halduskolleegium
estleg:RK_3_17_2250_28,3-17-2250/28,2020-08-28,ECLI:EE:RK:2020:3.17.2250.28,Halduskolleegium
estleg:RK_3_17_2452_36,3-17-2452/36,2020-08-11,ECLI:EE:RK:2020:3.17.2452.36,Halduskolleegium
estleg:RK_3_17_2637_37,3-17-2637/37,2020-05-07,ECLI:EE:RK:2020:3.17.2637.37,Halduskolleegium
estleg:RK_3_17_2766_33,3-17-2766/33,2020-06-19,ECLI:EE:RK:2020:3.17.2766.33,Halduskolleegium
estleg:RK_3_17_2859_47,3-17-2859/47,2020-09-22,ECLI:EE:RK:2020:3.17.2859.47,Halduskolleegium
estleg:RK_3_17_378_56,3-17-378/56,2020-09-28,ECLI:EE:RK:2020:3.17.378.56,Halduskolleegium
estleg:RK_3_17_572_39,3-17-572/39,2020-06-17,ECLI:EE:RK:2020:3.17.572.39,Halduskolleegium
estleg:RK_3_17_98_44,3-17-98/44,2020-01-31,ECLI:EE:RK:2020:3.17.98.44,Halduskolleegium
estleg:RK_3_17_98_49,3-17-98/49,2020-04-03,ECLI:EE:RK:2020:3.17.98.49,Halduskolleegium
estleg:RK_3_18_1168_52,3-18-1168/52,2020-03-31,ECLI:EE:RK:2020:3.18.1168.52,Halduskolleegium
estleg:RK_3_18_121_16,3-18-121/16,2020-10-15,ECLI:EE:RK:2020:3.18.121.16,Halduskolleegium
estleg:RK_3_18_1432_93,3-18-1432/93,2020-12-29,ECLI:EE:RK:2020:3.18.1432.93,Halduskolleegium
estleg:RK_3_18_1537_47,3-18-1537/47,2020-03-30,ECLI:EE:RK:2020:3.18.1537.47,Halduskolleegium
estleg:RK_3_18_1612_31,3-18-1612/31,2020-06-16,ECLI:EE:RK:2020:3.18.1612.31,Halduskolleegium
estleg:RK_3_18_1672_26,3-18-1672/26,2020-04-07,ECLI:EE:RK:2020:3.18.1672.26,Halduskolleegium
estleg:RK_3_18_1672_38,3-18-1672/38,2020-10-19,ECLI:EE:RK:2020:3.18.1672.38,Üldkogu
